"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1848","36.584311","136.678233","避難所","","","","","","金沢桜丘高校（指定避難場所）","収容人数：948
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0818","金沢市大樋町16-1","","","","","","","",""
"1849","36.586661","136.671389","避難所","","","","","","鳴和中学校（指定避難場所）","収容人数：3712
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0804","金沢市鳴和2-10-60","","","","","","","標高：9.6M",""
"1850","36.578565","136.667576","避難所","","","","","","森山町小学校（指定避難場所）","収容人数：2510
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0843","金沢市森山2-13-50","","","","","","","標高：11.5M",""
"1851","36.580615","136.663207","避難所","","","","","","元町第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0842","金沢市元町2-137","","","","","","","",""
"1852","36.58459","136.657693","避難所","","","","","","浅野本町第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0848","金沢市京町59","","","","","","","",""
"1853","36.584285","136.660849","避難所","","","","","","浅野本町第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0841","金沢市浅野本町2-125","","","","","","","",""
"1854","36.586739","136.665312","避難所","","","","","","浅野町公民館（指定避難場所）","収容人数：113
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0807","金沢市乙丸町甲161","","","","","","","標高：7.4M",""
"1855","36.581731","136.658818","避難所","","","","","","浅野町小学校（指定避難場所）","収容人数：1591
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0848","金沢市京町35-1","","","","","","","標高：8.0M",""
"1857","36.572069","136.671863","避難所","","","","","","子来町さくら公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0836","金沢市子来町33","","","","","","","",""
"1858","36.57266","136.669258","避難所","","","","","","子来町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0836","金沢市子来町2","","","","","","","",""
"1860","36.574477","136.665101","避難所","","","","","","馬場公民館（指定避難場所）","収容人数：130
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0831","金沢市東山3-9-35","","","","","","","標高：12.2M",""
